gender,number_of_followers,number_of_posts,average_likes,likes_to_followers
Female,15531,881,1265.13,8.15
,21887,384,454.57,2.08
Male,87256,1044,3257.2,3.73
Female,11828,567,391.03,3.31
Male,9930,3,129.33,1.3
,20279,130,712.27,3.51
Male,10579,9,78.56,0.74
Male,19112,1201,468.47,2.45
Female,9937,812,157.73,1.59
Male,9069,238,170.43,1.88
Male,55770,848,3202.13,5.74
Male,12313,32,1571.33,12.76
Male,11173,158,134.13,1.2
Female,33960,319,613.77,1.81
Female,71974,1696,712.13,0.99
Male,20438,34,1077.6,5.27
,48149,120,164.2,0.34
Female,56725,282,967.37,1.71
,11503,610,390.5,3.39
,86601,2395,478.93,0.55
Male,116216,114,2387.03,2.05
,17203,14,523.07,3.04
Female,23768,3644,381.3,1.6
,143047,1016,8282.77,5.79
Male,9453,212,150.87,1.6
Male,21017,1215,1987,9.45
,10338,1180,351.17,3.4
Male,13197,68,769.17,5.83
Male,37404,1383,2181.33,5.83
,70496,420,5291.1,7.51
,10759,1213,193.77,1.8
,19239,311,985.37,5.12
Male,17389,126,124,0.71
Female,662824,3809,6693.6,1.01
,12753,2141,619.77,4.86
Female,771049,2588,5384,0.7
Female,58901,301,1944.57,3.3
Female,15857,246,519.17,3.27
Male,10592,616,884.47,8.35
Female,124249,923,2354.8,1.9
Male,137256,85,15302.93,11.15
Male,85431,264,4431.2,5.19
Male,30162,8,18565.38,61.55
,12986,118,234.6,1.81
Male,17151,25,1004.28,5.86
Male,77088,813,4709.37,6.11
Male,12142,4,305.5,2.52
Female,20700,44,1330.57,6.43
Male,11283,0,0,0
Male,155605,46,4941.17,3.18
Female,15016,552,839.5,5.59
Female,39135,2314,82,0.21
Female,121231,5791,315.13,0.26
Female,262575,505,1817.8,0.69
,180085,2366,993.1,0.55
,77951,9546,291.3,0.37
Male,22718,23,1615.96,7.11
Male,57850,4390,1789.53,3.09
Male,90193,4011,1928.3,2.14
Female,122426,6640,866,0.71
Male,206971,4119,5426.6,2.62
,995740,8672,18687.33,1.88
Female,206777,1166,555.93,0.27
Male,124002,1097,2632.4,2.12
Female,17133,724,1930.2,11.27
,45579,1470,595.9,1.31
,64557,4441,2326.13,3.6
,12717,338,13.93,0.11
Female,32854,109,3388.87,10.31
,41883,2233,142.77,0.34
,21823,303,561.47,2.57
,25503,913,514.3,2.02
male,15263,1908,1103,7.23
Female,140603,399,15953.4,11.35
,49149,671,1257.73,2.56
Female,16980,788,612.57,3.61
Male,11038,208,423.2,3.83
Male,12150,951,289.73,2.38
male,11712,3022,183.27,1.56
,26883,361,109.8,0.41
,65865,122,1521.27,2.31
Female,30939,1584,337.57,1.09
Female,18020,446,282.27,1.57
,132232,825,6486.9,4.91
Male,40827,444,1795.27,4.4
Male,468171,453,14367.57,3.07
,22409,349,102.8,0.46
Male,13087,418,291.83,2.23
Male,84049,930,416.53,0.5
Female,44404,2405,433.07,0.98
male,21277,583,789.73,3.71
Female,17206,1341,330.63,1.92
Female,37953,58,3177.87,8.37
male,27495,863,1026.33,3.73
Male,18624,3079,239.4,1.29
,24668,201,747.4,3.03
